"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 09, 2020","12.42","12.91","13.73","11.92","145.27M","3.59%"
"Apr 08, 2020","11.99","11.82","12.17","11.38","108.04M","6.11%"
"Apr 07, 2020","11.30","12.36","12.94","11.06","185.45M","10.68%"
"Apr 06, 2020","10.21","9.35","10.95","9.16","195.70M","20.26%"
"Apr 03, 2020","8.49","8.29","8.74","8.02","124.44M","6.52%"
"Apr 02, 2020","7.97","8.02","8.53","7.81","262.06M","-9.43%"
"Apr 01, 2020","8.80","12.59","12.59","8.62","182.98M","-33.18%"
"Mar 31, 2020","13.17","11.04","14.54","11.04","112.21M","2.89%"
"Mar 30, 2020","12.80","13.44","13.47","11.71","46.04M","-11.17%"
"Mar 27, 2020","14.41","16.00","16.16","14.05","64.59M","-19.14%"
"Mar 26, 2020","17.82","15.55","19.12","15.07","97.61M","14.60%"
"Mar 25, 2020","15.55","15.05","17.03","13.15","78.05M","13.67%"
"Mar 24, 2020","13.68","14.19","16.62","13.15","65.01M","14.00%"
"Mar 23, 2020","12.00","11.27","12.45","10.61","52.17M","0.00%"
"Mar 20, 2020","12.00","11.09","13.81","10.60","80.10M","20.00%"
"Mar 19, 2020","10.00","9.13","10.40","8.60","52.32M","7.53%"
"Mar 18, 2020","9.30","11.16","11.47","7.92","69.93M","-26.83%"
"Mar 17, 2020","12.71","14.77","14.89","12.08","41.58M","-12.77%"
"Mar 16, 2020","14.57","15.05","17.90","14.50","50.74M","-17.12%"
"Mar 13, 2020","17.58","18.34","18.46","15.01","55.57M","17.43%"
"Mar 12, 2020","14.97","17.91","22.50","14.70","47.75M","-31.17%"
"Mar 11, 2020","21.75","22.89","23.70","20.41","38.26M","-9.45%"
"Mar 10, 2020","24.02","23.51","24.18","20.20","45.55M","10.49%"
"Mar 09, 2020","21.74","24.44","24.75","21.51","33.76M","-19.93%"
"Mar 06, 2020","27.15","26.91","29.30","26.10","29.77M","-2.58%"
"Mar 05, 2020","27.87","30.91","30.91","27.65","33.09M","-14.14%"
"Mar 04, 2020","32.46","32.25","32.46","30.90","19.50M","1.98%"
"Mar 03, 2020","31.83","33.02","33.34","31.16","19.72M","-3.72%"
"Mar 02, 2020","33.06","32.71","33.06","31.25","19.72M","-1.20%"
"Feb 28, 2020","33.46","31.23","33.50","31.06","24.87M","5.05%"
"Feb 27, 2020","31.85","32.65","33.70","30.19","31.49M","-3.89%"
"Feb 26, 2020","33.14","36.17","36.19","32.38","23.51M","-7.53%"
"Feb 25, 2020","35.84","38.00","38.11","35.67","16.15M","-5.08%"
"Feb 24, 2020","37.76","39.38","39.75","37.76","15.44M","-9.43%"
"Feb 21, 2020","41.69","42.11","42.19","41.65","8.01M","-1.91%"
"Feb 20, 2020","42.50","42.62","42.86","42.19","5.34M","-1.94%"
"Feb 19, 2020","43.34","42.56","43.44","42.53","4.63M","0.98%"
"Feb 18, 2020","42.92","42.60","42.97","42.53","6.25M","0.75%"
"Feb 14, 2020","42.60","43.07","43.12","42.50","4.00M","-1.39%"
"Feb 13, 2020","43.20","43.26","43.60","42.76","6.67M","-1.95%"
"Feb 12, 2020","44.06","43.23","44.44","43.08","6.87M","2.58%"
"Feb 11, 2020","42.95","42.11","43.29","42.04","5.81M","2.80%"
"Feb 10, 2020","41.78","42.08","42.40","41.66","4.83M","-1.00%"
"Feb 07, 2020","42.20","42.98","43.03","41.98","11.25M","-3.61%"
"Feb 06, 2020","43.78","44.63","44.82","43.74","4.53M","-0.82%"
"Feb 05, 2020","44.14","44.36","45.04","43.91","6.68M","1.33%"
"Feb 04, 2020","43.56","44.22","44.41","43.38","6.16M","1.89%"
"Feb 03, 2020","42.75","43.75","44.11","42.10","8.34M","-1.79%"
"Jan 31, 2020","43.53","44.99","45.16","43.21","11.80M","-2.73%"
"Jan 30, 2020","44.75","43.76","45.79","43.76","14.86M","-3.76%"
"Jan 29, 2020","46.50","46.36","46.97","46.27","3.41M","0.00%"
"Jan 28, 2020","46.50","45.80","46.85","45.38","7.16M","2.72%"
"Jan 27, 2020","45.27","45.40","46.14","44.73","8.10M","-4.73%"
"Jan 24, 2020","47.52","49.14","49.30","47.12","6.47M","-3.90%"
"Jan 23, 2020","49.45","49.03","49.61","48.13","6.31M","-0.86%"
"Jan 22, 2020","49.88","50.68","51.04","49.74","5.11M","-1.60%"
"Jan 21, 2020","50.69","51.38","51.38","50.30","12.10M","-2.33%"
"Jan 17, 2020","51.90","51.45","51.94","51.31","6.56M","1.07%"
"Jan 16, 2020","51.35","50.59","51.36","50.45","4.77M","1.80%"
"Jan 15, 2020","50.44","50.51","50.94","50.10","3.66M","0.46%"
"Jan 14, 2020","50.21","49.43","50.28","49.36","4.41M","1.72%"
"Jan 13, 2020","49.36","49.10","49.65","48.82","4.04M","1.04%"
"Jan 10, 2020","48.85","49.26","49.58","48.80","4.36M","-0.71%"
"Jan 09, 2020","49.20","49.14","49.29","48.93","2.59M","0.90%"
"Jan 08, 2020","48.76","48.50","49.02","48.43","5.02M","0.47%"
"Jan 07, 2020","48.53","48.14","48.67","48.13","5.76M","0.31%"
"Jan 06, 2020","48.38","49.35","49.40","48.27","6.70M","-3.03%"
"Jan 03, 2020","49.89","50.05","50.40","49.56","4.89M","-2.77%"
"Jan 02, 2020","51.31","51.35","51.67","50.73","4.20M","0.94%"
